Timestamp,Tweets_per_second,EMA,Growth,Threshold
1402609324,5,6.065997649,-0.3160155812,1.5
1402609325,6,6.053998076,-0.2416782459,1.5
1402609326,5,5.862362062,-0.2659597483,1.5
1402609327,4,5.523750778,-0.2755985589,1.5
1402609328,6,5.610341546,-0.2345804382,1.5
1402609329,7,5.863006719,-0.1728246506,1.5
1402609330,7,6.06973277,-0.06999131534,1.5
1402609331,4,5.693417721,-0.001772522464,1.5
1402609332,6,5.749159954,-0.08785278044,1.5
1402609333,13,7.067494508,0.1651001067,1.5
1402609334,9,7.418859143,0.2254478857,1.5
1402609335,9,7.706339298,0.3145450958,1.5
1402609336,11,8.305186699,0.5035411683,1.5
1402609337,7,8.067880026,0.4380372318,1.5
1402609338,11,8.600992749,0.4669935002,1.5
1402609339,7,8.309903158,0.3690723253,1.5
1402609340,8,8.253557129,0.4496665331,1.5
1402609341,6,7.843819469,0.36434184,1.5
1402609342,13,8.781306839,0.2424922056,1.5
1402609343,14,9.730160141,0.3115439926,1.5
1402609344,6,9.051949206,0.1746107789,1.5
1402609345,4,8.133412987,-0.02068270326,1.5
1402609346,5,7.563701535,-0.06249206607,1.5
1402609347,8,7.643028528,-0.1113783314,1.5
1402609348,11,8.253386978,-0.006801063655,1.5
1402609349,5,7.661862073,-0.07168970268,1.5
1402609350,6,7.359705332,-0.06171918402,1.5
1402609351,4,6.748849817,-0.2314526822,1.5
1402609352,6,6.612695305,-0.320391935,1.5
1402609353,4,6.137659795,-0.3219515869,1.5
1402609354,4,5.748994378,-0.2931633513,1.5
1402609355,6,5.794631764,-0.2338894208,1.5
1402609356,5,5.650153261,-0.260744188,1.5
1402609357,3,5.168307214,-0.3737956032,1.5
1402609358,1,4.410433175,-0.4243653654,1.5
1402609359,7,4.881263507,-0.3367582958,1.5
1402609360,2,4.357397415,-0.3543496251,1.5
1402609361,5,4.474234248,-0.3233872057,1.5
1402609362,7,4.933464385,-0.19619781,1.5
1402609363,8,5.491016315,-0.04487359803,1.5
1402609364,12,6.674467894,0.151836418,1.5
1402609365,5,6.370019186,0.1274064422,1.5
1402609366,10,7.030015698,0.3602162966,1.5
1402609367,6,6.842740116,0.5514893538,1.5
1402609368,14,8.144060095,0.6684327908,1.5
1402609369,7,7.936049169,0.821281929,1.5
1402609370,8,7.947676593,0.7763210757,1.5
1402609371,3,7.04809903,0.4286307715,1.5
1402609373,6,6.85753557,0.2488645411,1.5
1402609374,11,7.610710921,0.1402723096,1.5
1402609375,6,7.31785439,0.1487962872,1.5
1402609376,6,7.078244501,0.006860411885,1.5
1402609377,11,7.791290955,0.1386214912,1.5
1402609378,11,8.3746926,0.02831910644,1.5
1402609379,8,8.306566673,0.04668790426,1.5
1402609380,7,8.069009096,0.01526641172,1.5
1402609381,8,8.056461987,0.1430687839,1.5
1402609382,8,8.046196172,0.1733364106,1.5
1402609383,14,9.128705959,0.1994550907,1.5
1402609384,8,8.923486693,0.2194129888,1.5
1402609385,10,9.119216385,0.2883443606,1.5
1402609386,6,8.552086134,0.09764687041,1.5
1402609387,7,8.269888655,-0.01251436322,1.5
1402609388,10,8.584454354,0.0334539759,1.5
1402609389,6,8.114553562,0.005644369214,1.5
1402609390,13,9.002816551,0.11746528,1.5
1402609391,7,8.638668087,0.07363378955,1.5
1402609392,10,8.88618298,-0.02656707087,1.5
1402609393,10,9.088695166,0.0185138924,1.5
1402609394,13,9.799841499,0.07463635964,1.5
1402609395,8,9.47259759,0.1076358964,1.5
1402609396,13,10.11394348,0.222984239,1.5
1402609397,8,9.729590122,0.1333964538,1.5
1402609398,11,9.960573737,0.2274949768,1.5
1402609399,8,9.604105784,0.06678901321,1.5
1402609400,9,9.494268369,0.09904307855,1.5
